,D,day,month,year,wy,tmax_c,tmin_c,precip,wyd
88,12/27/88,27,12,1988,1989,15.44944445,3.147777778,0,88
89,12/28/88,28,12,1988,1989,15.01944445,8.591111111,0,89
90,12/29/88,29,12,1988,1989,14.49388889,5.475,0,90
91,12/30/88,30,12,1988,1989,15.44944445,5.908888889,0,91
92,12/31/88,31,12,1988,1989,15.44944445,8.591111111,0,92
93,1/1/89,1,1,1989,1989,16.50055555,7.447222222,0,92
94,1/2/89,2,1,1989,1989,18.79388889,5.041111111,0,93
95,1/3/89,3,1,1989,1989,19.74944445,5.475,0,94
96,1/4/89,4,1,1989,1989,22.66388889,8.236111111,0,95
97,1/5/89,5,1,1989,1989,19.31944445,10.60277778,2.297,96
98,1/6/89,6,1,1989,1989,15.01944445,8.236111111,0.501,97
99,1/7/89,7,1,1989,1989,15.44944445,5.475,0,98
100,1/8/89,8,1,1989,1989,15.44944445,3.897222222,0,99
101,1/9/89,9,1,1989,1989,16.50055555,5.475,0,100
102,1/10/89,10,1,1989,1989,20.80055555,7.052777778,0,101
103,1/11/89,11,1,1989,1989,21.75611111,8.236111111,0,102
104,1/12/89,12,1,1989,1989,17.45611111,4.252222222,0,103
105,1/13/89,13,1,1989,1989,15.975,4.252222222,0,104
106,1/14/89,14,1,1989,1989,16.50055555,4.686111111,0,105
107,1/15/89,15,1,1989,1989,15.44944445,4.686111111,0,106
108,1/16/89,16,1,1989,1989,18.36388889,5.041111111,0,107
109,1/17/89,17,1,1989,1989,20.275,5.041111111,0,108
110,1/18/89,18,1,1989,1989,23.09388889,6.697777778,0,109
111,1/19/89,19,1,1989,1989,24.575,7.052777778,0,110
112,1/20/89,20,1,1989,1989,24.575,7.447222222,0,111
113,1/21/89,21,1,1989,1989,22.18611111,10.24777778,0,112
114,1/22/89,22,1,1989,1989,22.66388889,7.052777778,0,113
115,1/23/89,23,1,1989,1989,16.93055555,10.60277778,0,114
116,1/24/89,24,1,1989,1989,19.31944445,8.591111111,0,115
117,1/25/89,25,1,1989,1989,19.74944445,5.908888889,0,116
118,1/26/89,26,1,1989,1989,17.88611111,5.041111111,0,117
119,1/27/89,27,1,1989,1989,18.36388889,5.041111111,0,118
120,1/28/89,28,1,1989,1989,16.93055555,8.236111111,0,119
121,1/29/89,29,1,1989,1989,18.79388889,6.263888889,0,120
122,1/30/89,30,1,1989,1989,22.18611111,7.052777778,0,121
123,1/31/89,31,1,1989,1989,23.61944445,7.447222222,0,122
124,2/1/89,1,2,1989,1989,17.88611111,9.813888889,0,123
125,2/2/89,2,2,1989,1989,15.975,7.447222222,0,124
126,2/3/89,3,2,1989,1989,16.93055555,9.458888889,0,125
127,2/4/89,4,2,1989,1989,13.15611111,11.78611111,38.289,126
128,2/5/89,5,2,1989,1989,13.58611111,7.447222222,0,127
129,2/6/89,6,2,1989,1989,14.06388889,2.713888889,0,128
130,2/7/89,7,2,1989,1989,13.58611111,5.041111111,0,129
131,2/8/89,8,2,1989,1989,13.58611111,9.813888889,56.798,130
132,2/9/89,9,2,1989,1989,15.01944445,11.78611111,1.283,131
133,2/10/89,10,2,1989,1989,16.50055555,7.447222222,0,132
134,2/11/89,11,2,1989,1989,19.31944445,6.263888889,0,133
135,2/12/89,12,2,1989,1989,19.74944445,8.236111111,0,134
136,2/13/89,13,2,1989,1989,18.36388889,7.802222222,0,135
137,2/14/89,14,2,1989,1989,15.01944445,5.475,0,136
138,2/15/89,15,2,1989,1989,15.44944445,6.263888889,0,137
139,2/16/89,16,2,1989,1989,15.975,5.908888889,0,138
140,2/17/89,17,2,1989,1989,17.45611111,7.052777778,0,139
141,2/18/89,18,2,1989,1989,17.45611111,7.802222222,0,140
142,2/19/89,19,2,1989,1989,16.93055555,10.24777778,0,141
143,2/20/89,20,2,1989,1989,17.45611111,9.025,0,142
144,2/21/89,21,2,1989,1989,22.66388889,8.591111111,0,143
145,2/22/89,22,2,1989,1989,23.61944445,10.60277778,0,144
146,2/23/89,23,2,1989,1989,24.04944445,11.35222222,0,145
147,2/24/89,24,2,1989,1989,20.80055555,10.60277778,0,146
148,2/25/89,25,2,1989,1989,22.66388889,10.99722222,0,147
149,2/26/89,26,2,1989,1989,23.61944445,11.35222222,0,148
150,2/27/89,27,2,1989,1989,21.23055555,9.813888889,0,149
151,2/28/89,28,2,1989,1989,20.275,11.78611111,0,150
152,3/1/89,1,3,1989,1989,16.93055555,8.591111111,0.378,151
153,3/2/89,2,3,1989,1989,16.93055555,12.575,7.369,152
154,3/3/89,3,3,1989,1989,18.79388889,10.99722222,0.655,153
155,3/4/89,4,3,1989,1989,19.31944445,6.697777778,0,154
156,3/5/89,5,3,1989,1989,19.31944445,10.24777778,0,155
157,3/6/89,6,3,1989,1989,20.80055555,10.24777778,0,156
158,3/7/89,7,3,1989,1989,21.23055555,13.36388889,0,157
159,3/8/89,8,3,1989,1989,21.23055555,14.15277778,0,158
160,3/9/89,9,3,1989,1989,21.75611111,14.15277778,0,159
161,3/10/89,10,3,1989,1989,18.36388889,12.575,0,160
162,3/11/89,11,3,1989,1989,16.93055555,13.00888889,0,161
163,3/12/89,12,3,1989,1989,21.23055555,11.78611111,0,162
164,3/13/89,13,3,1989,1989,25.53055555,12.575,0,163
165,3/14/89,14,3,1989,1989,26.05611111,10.60277778,0,164
166,3/15/89,15,3,1989,1989,18.79388889,9.025,0,165
167,3/16/89,16,3,1989,1989,18.79388889,11.78611111,0,166
168,3/17/89,17,3,1989,1989,17.45611111,8.236111111,0,167
169,3/18/89,18,3,1989,1989,19.31944445,9.458888889,0,168
170,3/19/89,19,3,1989,1989,26.05611111,9.025,0,169
171,3/20/89,20,3,1989,1989,26.96388889,14.54722222,0,170
172,3/21/89,21,3,1989,1989,25.10055555,10.60277778,0,171
173,3/22/89,22,3,1989,1989,24.04944445,10.24777778,0,172
174,3/23/89,23,3,1989,1989,21.23055555,11.78611111,0,173
175,3/24/89,24,3,1989,1989,17.88611111,11.78611111,0.743,174
176,3/25/89,25,3,1989,1989,17.45611111,13.79777778,6.115,175
177,3/26/89,26,3,1989,1989,21.75611111,10.99722222,0,176
178,3/27/89,27,3,1989,1989,22.18611111,9.813888889,0,177
179,3/28/89,28,3,1989,1989,23.61944445,10.24777778,0,178
180,3/29/89,29,3,1989,1989,27.91944445,13.79777778,0,179
181,3/30/89,30,3,1989,1989,27.91944445,11.35222222,0,180
182,3/31/89,31,3,1989,1989,30.35611111,15.33611111,0,181
183,4/1/89,1,4,1989,1989,30.78611111,14.54722222,0,182
184,4/2/89,2,4,1989,1989,25.53055555,13.36388889,0,183
185,4/3/89,3,4,1989,1989,29.83055555,13.79777778,0,184
186,4/4/89,4,4,1989,1989,32.64944445,20.10888889,0,185
187,4/5/89,5,4,1989,1989,33.175,13.00888889,0,186
188,4/6/89,6,4,1989,1989,33.70055555,14.15277778,0,187
189,4/7/89,7,4,1989,1989,33.70055555,14.15277778,0,188
190,4/8/89,8,4,1989,1989,31.26388889,14.15277778,0,189
191,4/9/89,9,4,1989,1989,26.48611111,13.36388889,0,190
192,4/10/89,10,4,1989,1989,20.275,14.90222222,0,191
193,4/11/89,11,4,1989,1989,17.45611111,14.54722222,0,192
194,4/12/89,12,4,1989,1989,18.36388889,14.90222222,0,193
195,4/13/89,13,4,1989,1989,19.74944445,15.69111111,0,194
196,4/14/89,14,4,1989,1989,20.275,14.54722222,0,195
197,4/15/89,15,4,1989,1989,19.31944445,14.15277778,0,196
198,4/16/89,16,4,1989,1989,19.31944445,14.15277778,0,197
199,4/17/89,17,4,1989,1989,18.36388889,14.90222222,0,198
200,4/18/89,18,4,1989,1989,18.79388889,10.24777778,0,199
201,4/19/89,19,4,1989,1989,19.31944445,13.00888889,0,200
202,4/20/89,20,4,1989,1989,18.79388889,14.54722222,0,201
203,4/21/89,21,4,1989,1989,23.61944445,13.79777778,0,202
204,4/22/89,22,4,1989,1989,23.61944445,13.00888889,0,203
205,4/23/89,23,4,1989,1989,21.23055555,12.575,0,204
206,4/24/89,24,4,1989,1989,19.74944445,10.60277778,0.234,205
207,4/25/89,25,4,1989,1989,17.88611111,11.35222222,2.309,206
208,4/26/89,26,4,1989,1989,17.88611111,8.236111111,0,207
209,4/27/89,27,4,1989,1989,20.80055555,9.458888889,0,208
210,4/28/89,28,4,1989,1989,23.09388889,10.99722222,0,209
211,4/29/89,29,4,1989,1989,23.09388889,13.36388889,0,210
212,4/30/89,30,4,1989,1989,20.275,11.35222222,0,211
213,5/1/89,1,5,1989,1989,21.23055555,13.36388889,0,212
214,5/2/89,2,5,1989,1989,21.23055555,11.35222222,0,213
215,5/3/89,3,5,1989,1989,20.275,11.35222222,0,214
216,5/4/89,4,5,1989,1989,20.275,13.79777778,0,215
217,5/5/89,5,5,1989,1989,20.275,14.90222222,0,216
218,5/6/89,6,5,1989,1989,21.23055555,14.54722222,0,217
219,5/7/89,7,5,1989,1989,21.75611111,16.125,0,218
220,5/8/89,8,5,1989,1989,19.74944445,14.54722222,0,219
221,5/9/89,9,5,1989,1989,26.96388889,15.69111111,6.373,220
222,5/10/89,10,5,1989,1989,26.96388889,12.575,0,221
223,5/11/89,11,5,1989,1989,21.23055555,13.36388889,0,222
224,5/12/89,12,5,1989,1989,21.23055555,9.458888889,0,223
225,5/13/89,13,5,1989,1989,20.80055555,9.458888889,0,224
226,5/14/89,14,5,1989,1989,21.23055555,12.575,0,225
227,5/15/89,15,5,1989,1989,19.74944445,10.99722222,0,226
228,5/16/89,16,5,1989,1989,19.74944445,11.35222222,0,227
229,5/17/89,17,5,1989,1989,19.74944445,14.54722222,0,228
230,5/18/89,18,5,1989,1989,20.275,15.33611111,0,229
231,5/19/89,19,5,1989,1989,20.80055555,10.99722222,0,230
232,5/20/89,20,5,1989,1989,23.09388889,11.78611111,0,231
233,5/21/89,21,5,1989,1989,24.575,10.99722222,0,232
234,5/22/89,22,5,1989,1989,25.10055555,10.99722222,0,233
235,5/23/89,23,5,1989,1989,24.04944445,11.35222222,0,234
236,5/24/89,24,5,1989,1989,29.40055555,14.90222222,0,235
237,5/25/89,25,5,1989,1989,30.35611111,14.15277778,0,236
238,5/26/89,26,5,1989,1989,26.96388889,9.458888889,0,237
239,5/27/89,27,5,1989,1989,21.75611111,12.575,0,238
240,5/28/89,28,5,1989,1989,20.80055555,11.78611111,0,239
241,5/29/89,29,5,1989,1989,26.05611111,10.99722222,0,240
242,5/30/89,30,5,1989,1989,26.48611111,11.35222222,0,241
243,5/31/89,31,5,1989,1989,20.80055555,11.35222222,0,242
244,6/1/89,1,6,1989,1989,21.75611111,13.36388889,0,243
245,6/2/89,2,6,1989,1989,18.79388889,13.79777778,0,244
246,6/3/89,3,6,1989,1989,18.36388889,14.15277778,0,245
247,6/4/89,4,6,1989,1989,19.74944445,14.90222222,0,246
248,6/5/89,5,6,1989,1989,20.80055555,14.90222222,0,247
249,6/6/89,6,6,1989,1989,21.23055555,13.00888889,0,248
250,6/7/89,7,6,1989,1989,20.80055555,13.79777778,0,249
251,6/8/89,8,6,1989,1989,21.23055555,13.00888889,0,250
252,6/9/89,9,6,1989,1989,21.23055555,13.36388889,0,251
253,6/10/89,10,6,1989,1989,21.75611111,12.575,0,252
254,6/11/89,11,6,1989,1989,21.75611111,12.14111111,0,253
255,6/12/89,12,6,1989,1989,22.66388889,12.14111111,0,254
256,6/13/89,13,6,1989,1989,22.66388889,12.575,0,255
257,6/14/89,14,6,1989,1989,23.09388889,13.79777778,0,256
258,6/15/89,15,6,1989,1989,22.18611111,15.69111111,0,257
259,6/16/89,16,6,1989,1989,21.23055555,15.69111111,0,258
260,6/17/89,17,6,1989,1989,22.18611111,13.79777778,0,259
261,6/18/89,18,6,1989,1989,25.10055555,13.79777778,0,260
262,6/19/89,19,6,1989,1989,26.96388889,14.15277778,0,261
263,6/20/89,20,6,1989,1989,27.39388889,13.36388889,0,262
264,6/21/89,21,6,1989,1989,26.48611111,14.15277778,0,263
265,6/22/89,22,6,1989,1989,24.575,15.33611111,0,264
266,6/23/89,23,6,1989,1989,21.23055555,14.90222222,0,265
267,6/24/89,24,6,1989,1989,21.23055555,15.33611111,0,266
268,6/25/89,25,6,1989,1989,22.66388889,15.33611111,0,267
269,6/26/89,26,6,1989,1989,23.09388889,13.79777778,0,268
270,6/27/89,27,6,1989,1989,23.61944445,14.90222222,0,269
271,6/28/89,28,6,1989,1989,22.18611111,13.00888889,0,270
272,6/29/89,29,6,1989,1989,22.66388889,12.14111111,0,271
273,6/30/89,30,6,1989,1989,25.10055555,13.79777778,0,272
274,7/1/89,1,7,1989,1989,26.48611111,13.36388889,0,273
275,7/2/89,2,7,1989,1989,25.10055555,14.90222222,0,274
276,7/3/89,3,7,1989,1989,25.53055555,13.36388889,0,275
277,7/4/89,4,7,1989,1989,27.39388889,14.15277778,0,276
278,7/5/89,5,7,1989,1989,29.83055555,15.33611111,0,277
279,7/6/89,6,7,1989,1989,29.83055555,15.33611111,0,278
280,7/7/89,7,7,1989,1989,24.04944445,16.91388889,0,279
281,7/8/89,8,7,1989,1989,23.61944445,16.91388889,0,280
282,7/9/89,9,7,1989,1989,22.66388889,14.54722222,0,281
283,7/10/89,10,7,1989,1989,23.61944445,15.69111111,0,282
284,7/11/89,11,7,1989,1989,24.04944445,14.15277778,0,283
285,7/12/89,12,7,1989,1989,23.61944445,14.15277778,0,284
286,7/13/89,13,7,1989,1989,23.09388889,14.90222222,0,285
287,7/14/89,14,7,1989,1989,24.04944445,14.15277778,0,286
288,7/15/89,15,7,1989,1989,25.10055555,14.54722222,0,287
289,7/16/89,16,7,1989,1989,24.575,14.90222222,0,288
290,7/17/89,17,7,1989,1989,24.04944445,16.125,0,289
291,7/18/89,18,7,1989,1989,22.18611111,16.125,0,290
292,7/19/89,19,7,1989,1989,22.66388889,14.54722222,0,291
293,7/20/89,20,7,1989,1989,26.05611111,15.69111111,0,292
294,7/21/89,21,7,1989,1989,26.48611111,15.69111111,0,293
295,7/22/89,22,7,1989,1989,24.04944445,15.69111111,0,294
296,7/23/89,23,7,1989,1989,24.04944445,16.91388889,0,295
297,7/24/89,24,7,1989,1989,22.18611111,16.125,0,296
298,7/25/89,25,7,1989,1989,20.80055555,16.125,0,297
299,7/26/89,26,7,1989,1989,24.04944445,14.15277778,0,298
300,7/27/89,27,7,1989,1989,25.10055555,14.54722222,0,299
301,7/28/89,28,7,1989,1989,23.09388889,16.55888889,0,300
302,7/29/89,29,7,1989,1989,21.75611111,16.125,0,301
303,7/30/89,30,7,1989,1989,22.18611111,15.69111111,0,302
304,7/31/89,31,7,1989,1989,24.04944445,14.15277778,0,303
305,8/1/89,1,8,1989,1989,24.575,14.15277778,0,304
306,8/2/89,2,8,1989,1989,24.575,14.90222222,0,305
307,8/3/89,3,8,1989,1989,23.61944445,15.33611111,0,306
308,8/4/89,4,8,1989,1989,23.09388889,13.36388889,0,307
309,8/5/89,5,8,1989,1989,21.75611111,14.90222222,0,308
310,8/6/89,6,8,1989,1989,23.61944445,15.33611111,0,309
311,8/7/89,7,8,1989,1989,23.09388889,15.69111111,0,310
312,8/8/89,8,8,1989,1989,23.61944445,16.125,0,311
313,8/9/89,9,8,1989,1989,22.18611111,15.33611111,0,312
314,8/10/89,10,8,1989,1989,22.66388889,15.69111111,0,313
315,8/11/89,11,8,1989,1989,21.75611111,15.69111111,0,314
316,8/12/89,12,8,1989,1989,23.61944445,15.33611111,0,315
317,8/13/89,13,8,1989,1989,24.04944445,14.90222222,0,316
318,8/14/89,14,8,1989,1989,24.04944445,16.125,0,317
319,8/15/89,15,8,1989,1989,21.75611111,15.33611111,0,318
320,8/16/89,16,8,1989,1989,21.75611111,15.33611111,0,319
321,8/17/89,17,8,1989,1989,21.75611111,14.54722222,0,320
322,8/18/89,18,8,1989,1989,22.66388889,14.15277778,0,321
323,8/19/89,19,8,1989,1989,21.75611111,13.79777778,0,322
324,8/20/89,20,8,1989,1989,21.75611111,14.90222222,0,323
325,8/21/89,21,8,1989,1989,22.18611111,16.55888889,0,324
326,8/22/89,22,8,1989,1989,22.18611111,13.00888889,0,325
327,8/23/89,23,8,1989,1989,21.75611111,15.69111111,0,326
328,8/24/89,24,8,1989,1989,22.18611111,14.54722222,0,327
329,8/25/89,25,8,1989,1989,22.66388889,16.125,0,328
330,8/26/89,26,8,1989,1989,22.66388889,14.90222222,0,329
331,8/27/89,27,8,1989,1989,21.23055555,14.90222222,0,330
332,8/28/89,28,8,1989,1989,21.23055555,14.54722222,0,331
333,8/29/89,29,8,1989,1989,22.66388889,15.69111111,0,332
334,8/30/89,30,8,1989,1989,23.09388889,12.575,0,333
335,8/31/89,31,8,1989,1989,23.09388889,13.79777778,0,334
336,9/1/89,1,9,1989,1989,22.66388889,14.90222222,0,335
337,9/2/89,2,9,1989,1989,20.80055555,14.90222222,0,336
338,9/3/89,3,9,1989,1989,21.23055555,15.33611111,0,337
339,9/4/89,4,9,1989,1989,22.66388889,15.33611111,0,338
340,9/5/89,5,9,1989,1989,23.09388889,13.00888889,0,339
341,9/6/89,6,9,1989,1989,24.575,12.575,0,340
342,9/7/89,7,9,1989,1989,23.09388889,11.35222222,0,341
343,9/8/89,8,9,1989,1989,23.09388889,11.35222222,0,342
344,9/9/89,9,9,1989,1989,23.09388889,12.575,0,343
345,9/10/89,10,9,1989,1989,21.23055555,12.14111111,0,344
346,9/11/89,11,9,1989,1989,22.18611111,12.14111111,0,345
347,9/12/89,12,9,1989,1989,22.18611111,13.00888889,0,346
348,9/13/89,13,9,1989,1989,21.75611111,15.33611111,0,347
349,9/14/89,14,9,1989,1989,22.18611111,15.69111111,0,348
350,9/15/89,15,9,1989,1989,25.53055555,15.33611111,0,349
351,9/16/89,16,9,1989,1989,26.96388889,17.70277778,0,350
352,9/17/89,17,9,1989,1989,23.09388889,14.15277778,0,351
353,9/18/89,18,9,1989,1989,22.66388889,15.69111111,0,352
354,9/19/89,19,9,1989,1989,22.66388889,11.78611111,0,353
355,9/20/89,20,9,1989,1989,23.61944445,11.78611111,0,354
356,9/21/89,21,9,1989,1989,27.39388889,12.575,0,355
357,9/22/89,22,9,1989,1989,27.91944445,13.00888889,0,356
358,9/23/89,23,9,1989,1989,26.96388889,15.33611111,0,357
359,9/24/89,24,9,1989,1989,24.575,13.79777778,0,358
360,9/25/89,25,9,1989,1989,25.10055555,14.90222222,0,359
361,9/26/89,26,9,1989,1989,25.53055555,12.575,0,360
362,9/27/89,27,9,1989,1989,24.575,12.575,0,361
363,9/28/89,28,9,1989,1989,25.10055555,13.00888889,0,362
364,9/29/89,29,9,1989,1989,23.61944445,15.69111111,0,363
365,9/30/89,30,9,1989,1989,24.575,12.575,0,364
366,10/1/89,1,10,1989,1990,24.04944445,13.00888889,0,1
367,10/2/89,2,10,1989,1990,22.18611111,15.33611111,0,2
368,10/3/89,3,10,1989,1990,22.18611111,10.24777778,0,3
369,10/4/89,4,10,1989,1990,25.10055555,9.458888889,0,4
370,10/5/89,5,10,1989,1990,26.05611111,11.35222222,0,5
371,10/6/89,6,10,1989,1990,24.575,13.36388889,0,6
372,10/7/89,7,10,1989,1990,23.09388889,13.00888889,0,7
373,10/8/89,8,10,1989,1990,22.66388889,11.78611111,0,8
374,10/9/89,9,10,1989,1990,24.04944445,14.90222222,0,9
375,10/10/89,10,10,1989,1990,21.23055555,15.69111111,0,10
376,10/11/89,11,10,1989,1990,20.80055555,14.90222222,0,11
377,10/12/89,12,10,1989,1990,20.80055555,14.90222222,0,12
378,10/13/89,13,10,1989,1990,20.80055555,12.575,0,13
379,10/14/89,14,10,1989,1990,20.80055555,13.00888889,0,14
380,10/15/89,15,10,1989,1990,23.61944445,10.24777778,0,15
381,10/16/89,16,10,1989,1990,24.04944445,11.35222222,0,16
382,10/17/89,17,10,1989,1990,22.66388889,12.14111111,0,17
383,10/18/89,18,10,1989,1990,26.05611111,11.35222222,0,18
384,10/19/89,19,10,1989,1990,28.34944445,10.99722222,0,19
385,10/20/89,20,10,1989,1990,28.34944445,16.55888889,0,20
386,10/21/89,21,10,1989,1990,20.275,16.91388889,8.375,21
387,10/22/89,22,10,1989,1990,21.75611111,14.54722222,3.761,22
388,10/23/89,23,10,1989,1990,21.75611111,16.125,3.931,23
389,10/24/89,24,10,1989,1990,21.75611111,15.33611111,0,24
390,10/25/89,25,10,1989,1990,21.75611111,14.90222222,0,25
391,10/26/89,26,10,1989,1990,22.66388889,8.591111111,0,26
392,10/27/89,27,10,1989,1990,21.75611111,8.236111111,0,27
393,10/28/89,28,10,1989,1990,21.23055555,9.025,0,28
394,10/29/89,29,10,1989,1990,23.09388889,8.591111111,0,29
395,10/30/89,30,10,1989,1990,23.61944445,7.052777778,0,30
396,10/31/89,31,10,1989,1990,23.61944445,10.60277778,0,31
397,11/1/89,1,11,1989,1990,24.575,7.802222222,0,32
398,11/2/89,2,11,1989,1990,24.575,7.802222222,0,33
399,11/3/89,3,11,1989,1990,26.48611111,5.041111111,0,34
400,11/4/89,4,11,1989,1990,26.48611111,8.591111111,0,35
401,11/5/89,5,11,1989,1990,19.74944445,12.575,0,36
402,11/6/89,6,11,1989,1990,20.275,11.78611111,0,37
403,11/7/89,7,11,1989,1990,19.31944445,9.458888889,0,38
404,11/8/89,8,11,1989,1990,23.09388889,8.236111111,0,39
405,11/9/89,9,11,1989,1990,26.96388889,7.802222222,0,40
406,11/10/89,10,11,1989,1990,26.96388889,8.591111111,0,41
407,11/11/89,11,11,1989,1990,26.96388889,9.458888889,0,42
408,11/12/89,12,11,1989,1990,20.80055555,14.54722222,0,43
409,11/13/89,13,11,1989,1990,18.79388889,14.15277778,0,44
410,11/14/89,14,11,1989,1990,18.79388889,12.14111111,0,45
411,11/15/89,15,11,1989,1990,24.575,8.236111111,0,46
412,11/16/89,16,11,1989,1990,24.575,8.591111111,0,47
413,11/17/89,17,11,1989,1990,25.53055555,9.025,0,48
414,11/18/89,18,11,1989,1990,27.39388889,8.591111111,0,49
